,Date,Net Sales,Orders,Guests
07/11/2023,1970-01-01 00:00:00.000000395,14,14,
07/12/2023,1970-01-01 00:00:00.000000377,13,13,
07/13/2023,1970-01-01 00:00:00.000000402,15,15,
07/14/2023,1970-01-01 00:00:00.000001399,40,40,
07/15/2023,1970-01-01 00:00:00.000001486,43,43,
07/16/2023,1970-01-01 00:00:00.000001027,26,26,
07/17/2023,1970-01-01 00:00:00.000000000,0,0,
07/18/2023,1970-01-01 00:00:00.000000264,9,9,
07/19/2023,1970-01-01 00:00:00.000000439,16,16,
07/20/2023,1970-01-01 00:00:00.000000297,11,11,
07/21/2023,1970-01-01 00:00:00.000000711,24,24,
07/22/2023,1970-01-01 00:00:00.000000883,22,22,
07/23/2023,1970-01-01 00:00:00.000000997,27,27,
07/24/2023,1970-01-01 00:00:00.000000000,0,0,
07/25/2023,1970-01-01 00:00:00.000000675,22,22,
07/26/2023,1970-01-01 00:00:00.000000781,23,23,
07/27/2023,1970-01-01 00:00:00.000000712,17,17,
07/28/2023,1970-01-01 00:00:00.000000812,27,27,
07/29/2023,1970-01-01 00:00:00.000001162,34,34,
07/30/2023,1970-01-01 00:00:00.000001024,26,26,
07/31/2023,1970-01-01 00:00:00.000000000,0,0,
08/01/2023,1970-01-01 00:00:00.000000543,19,19,
08/02/2023,1970-01-01 00:00:00.000000612,21,21,
08/03/2023,1970-01-01 00:00:00.000000546,15,15,
08/04/2023,1970-01-01 00:00:00.000000925,28,28,
08/05/2023,1970-01-01 00:00:00.000000777,26,26,
08/06/2023,1970-01-01 00:00:00.000000881,24,24,
08/07/2023,1970-01-01 00:00:00.000000000,0,0,
08/08/2023,1970-01-01 00:00:00.000000295,11,11,
08/09/2023,1970-01-01 00:00:00.000000408,18,18,
08/10/2023,1970-01-01 00:00:00.000000722,18,18,
08/11/2023,1970-01-01 00:00:00.000000924,27,27,
08/12/2023,1970-01-01 00:00:00.000001041,29,29,
08/13/2023,1970-01-01 00:00:00.000001065,27,27,
08/14/2023,1970-01-01 00:00:00.000000000,0,0,
08/15/2023,1970-01-01 00:00:00.000000330,11,11,
08/16/2023,1970-01-01 00:00:00.000000317,9,9,
08/17/2023,1970-01-01 00:00:00.000000174,6,6,
08/18/2023,1970-01-01 00:00:00.000000939,30,30,
08/19/2023,1970-01-01 00:00:00.000000904,28,28,
08/20/2023,1970-01-01 00:00:00.000000825,27,27,
08/21/2023,1970-01-01 00:00:00.000000000,0,0,
08/22/2023,1970-01-01 00:00:00.000000914,13,13,
08/23/2023,1970-01-01 00:00:00.000000374,15,15,
08/24/2023,1970-01-01 00:00:00.000000371,12,12,
08/25/2023,1970-01-01 00:00:00.000001249,40,40,
08/26/2023,1970-01-01 00:00:00.000001550,34,34,
08/27/2023,1970-01-01 00:00:00.000000744,24,24,
08/28/2023,1970-01-01 00:00:00.000000000,0,0,
08/29/2023,1970-01-01 00:00:00.000000775,28,28,
08/30/2023,1970-01-01 00:00:00.000000370,14,14,
08/31/2023,1970-01-01 00:00:00.000000556,25,25,
09/01/2023,1970-01-01 00:00:00.000000908,32,32,
09/02/2023,1970-01-01 00:00:00.000001051,29,29,
09/03/2023,1970-01-01 00:00:00.000001218,35,35,
09/04/2023,1970-01-01 00:00:00.000000000,0,0,
09/05/2023,1970-01-01 00:00:00.000000440,13,13,
09/06/2023,1970-01-01 00:00:00.000000249,10,10,
09/07/2023,1970-01-01 00:00:00.000000681,22,22,
09/08/2023,1970-01-01 00:00:00.000001051,31,31,
09/09/2023,1970-01-01 00:00:00.000001397,32,32,
09/10/2023,1970-01-01 00:00:00.000001154,35,35,
09/11/2023,1970-01-01 00:00:00.000000000,0,0,
09/12/2023,1970-01-01 00:00:00.000000378,15,15,
09/13/2023,1970-01-01 00:00:00.000000121,9,9,
09/14/2023,1970-01-01 00:00:00.000000885,19,19,
09/15/2023,1970-01-01 00:00:00.000000911,30,30,
09/16/2023,1970-01-01 00:00:00.000001021,28,28,
09/17/2023,1970-01-01 00:00:00.000000672,21,21,
09/18/2023,1970-01-01 00:00:00.000000000,0,0,
09/19/2023,1970-01-01 00:00:00.000000608,20,20,
09/20/2023,1970-01-01 00:00:00.000000592,16,16,
09/21/2023,1970-01-01 00:00:00.000000316,12,12,
09/22/2023,1970-01-01 00:00:00.000000916,27,27,
09/23/2023,1970-01-01 00:00:00.000000969,31,31,
09/24/2023,1970-01-01 00:00:00.000000371,12,12,
09/25/2023,1970-01-01 00:00:00.000000021,1,1,
09/26/2023,1970-01-01 00:00:00.000000556,16,16,
09/27/2023,1970-01-01 00:00:00.000000477,17,17,
09/28/2023,1970-01-01 00:00:00.000000552,15,15,
09/29/2023,1970-01-01 00:00:00.000000903,26,26,
09/30/2023,1970-01-01 00:00:00.000000946,31,31,
10/01/2023,1970-01-01 00:00:00.000000538,17,17,
10/02/2023,1970-01-01 00:00:00.000000000,0,0,
10/03/2023,1970-01-01 00:00:00.000000289,9,9,
10/04/2023,1970-01-01 00:00:00.000000350,12,12,
10/05/2023,1970-01-01 00:00:00.000000481,17,17,
10/06/2023,1970-01-01 00:00:00.000001207,37,37,
10/07/2023,1970-01-01 00:00:00.000000742,23,23,
10/08/2023,1970-01-01 00:00:00.000000753,19,19,
10/09/2023,1970-01-01 00:00:00.000000024,1,1,
10/10/2023,1970-01-01 00:00:00.000000485,20,20,
10/11/2023,1970-01-01 00:00:00.000000572,18,18,
10/12/2023,1970-01-01 00:00:00.000000370,12,12,
10/13/2023,1970-01-01 00:00:00.000000707,25,25,
10/14/2023,1970-01-01 00:00:00.000001586,26,26,
10/15/2023,1970-01-01 00:00:00.000000788,23,23,
10/16/2023,1970-01-01 00:00:00.000000000,0,0,
10/17/2023,1970-01-01 00:00:00.000000382,19,19,
10/18/2023,1970-01-01 00:00:00.000000410,14,14,
10/19/2023,1970-01-01 00:00:00.000000231,8,8,
10/20/2023,1970-01-01 00:00:00.000000855,26,26,
10/21/2023,1970-01-01 00:00:00.000000956,30,30,
10/22/2023,1970-01-01 00:00:00.000000664,15,15,
10/23/2023,1970-01-01 00:00:00.000000000,0,0,
10/24/2023,1970-01-01 00:00:00.000000311,10,10,
10/25/2023,1970-01-01 00:00:00.000000412,14,14,
10/26/2023,1970-01-01 00:00:00.000000310,11,11,
10/27/2023,1970-01-01 00:00:00.000000342,15,15,
10/28/2023,1970-01-01 00:00:00.000000539,18,18,
10/29/2023,1970-01-01 00:00:00.000000775,21,21,
10/30/2023,1970-01-01 00:00:00.000000000,0,0,
10/31/2023,1970-01-01 00:00:00.000000692,14,14,
11/01/2023,1970-01-01 00:00:00.000000376,13,13,
11/02/2023,1970-01-01 00:00:00.000000497,23,23,
11/03/2023,1970-01-01 00:00:00.000000555,21,21,
11/04/2023,1970-01-01 00:00:00.000001172,37,37,
11/05/2023,1970-01-01 00:00:00.000001021,31,31,
11/06/2023,1970-01-01 00:00:00.000000000,0,0,
11/07/2023,1970-01-01 00:00:00.000000305,10,10,
11/08/2023,1970-01-01 00:00:00.000000320,11,11,
11/09/2023,1970-01-01 00:00:00.000000633,19,19,
11/10/2023,1970-01-01 00:00:00.000000832,29,29,
11/11/2023,1970-01-01 00:00:00.000000898,31,31,
11/12/2023,1970-01-01 00:00:00.000000671,20,20,
11/13/2023,1970-01-01 00:00:00.000000000,0,0,
11/14/2023,1970-01-01 00:00:00.000000406,15,15,
11/15/2023,1970-01-01 00:00:00.000000654,19,19,
11/16/2023,1970-01-01 00:00:00.000000265,10,10,
11/17/2023,1970-01-01 00:00:00.000000867,22,22,
11/18/2023,1970-01-01 00:00:00.000000653,23,23,
